Metric,Value
Model name,RuleBasedModel
Dataset name,5_nodes_1_week
Accuracy,0.4799950916564978
Precision,0.06830982005712276
Recall,0.8789887283695825
Specificity,0.9883866200455547
F1 Score,0.12676798030966485
AUC,0.6705409130842855
True Negative Rate,0.46209309779898855
False Positive Rate,0.5379069022010114
False Negative Rate,0.12101127163041753
True Positive Rate,0.8789887283695825
Total Samples,100000
Compute per Analysis,4.976979210005084e-06
Disk,553502377
RAM,419418112
