Metric,Value
Model name,Node 4144
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8517937150509209
Precision,0.3915677278916284
Recall,0.8715892090150089
Specificity,0.849595295545196
F1 Score,0.5403702362821982
AUC,0.8605922522801025
AUPRC,0.35412161126192193
True Negative Rate,0.849595295545196
False Positive Rate,0.15040470445480403
False Negative Rate,0.12841079098499109
True Positive Rate,0.8715892090150089
Total Samples,100000
Compute per Analysis,4.5190213713794945e-06
Disk,1184683876
RAM,844378112
Train Time,19.07453751564026
