Metric,Value
Model name,Node 4138
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.7335130903714012
Precision,0.2366348260963412
Recall,0.753799179563677
Specificity,0.7312712581474808
F1 Score,0.3601959075481207
AUC,0.7425352188555789
AUPRC,0.2028754421948573
True Negative Rate,0.7312712581474808
False Positive Rate,0.26872874185251916
False Negative Rate,0.24620082043632296
True Positive Rate,0.753799179563677
Total Samples,100000
Compute per Analysis,5.753505621105433e-06
Disk,1317060036
RAM,1353256960
Train Time,13.468788385391235
