Metric,Value
Model name,Central Model
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.8799560738295539
Precision,0.4486473273724092
Recall,0.869818852830703
Specificity,0.8810838078781091
F1 Score,0.5919634640313827
AUC,0.875451330354406
AUPRC,0.4032743313156342
True Negative Rate,0.8810838078781091
False Positive Rate,0.11891619212189086
False Negative Rate,0.130181147169297
True Positive Rate,0.869818852830703
Total Samples,100000
Compute per Analysis,2.3318557189777494e-05
Disk,17712416698
RAM,16265281536
Train Time,434.29299211502075
