Metric,Value
Model name,LogisticRegressorClassifier
Dataset name,oslo_3_month_aggregated_proc
Accuracy,0.3401331954845786
Precision,0.13043984730574132
Recall,0.9867731899044069
Specificity,0.2681965237924586
F1 Score,0.23042077012984025
AUC,0.6274848568484328
True Negative Rate,0.2681965237924586
False Positive Rate,0.7318034762075414
False Negative Rate,0.013226810095593074
True Positive Rate,0.9867731899044069
Total Samples,100000
Compute per Analysis,7.131338771432638e-07
Disk,1948
RAM,0
